Ano;Id;Mês;Battery Power;Confidence(1);Confidence(2);Erro;error perc;Int Memory;Prediction(Price Range);Price Range;Px Height;Px Width;Ram;Variavel;Vendas;Data
2020;1;1;1843;1,09E-05;0,999989104;0;0;16;2;2;118;580;3213;1;1;1/2020
2021;2;2;1424;0,999864292;0,000135708;0;0;23;1;1;1399;1663;1053;1;1;2/2021
2022;3;3;1844;0,979522275;0,020477725;0;0;51;1;1;533;882;1724;1;1;3/2022
2023;4;4;1501;0,000486955;0,999513045;0;0;2;2;2;198;1056;2487;1;1;4/2023
2024;5;5;1976;1,07E-05;0,999989335;0;0;45;2;2;652;1933;2470;1;1;5/2024
2020;6;6;1270;9,20E-06;0,999990801;0;0;32;2;2;299;845;3770;1;1;6/2020
2021;7;7;1487;0,166090715;0,833909285;0;0;42;2;2;857;989;2003;1;1;7/2021
2022;8;8;1864;6,54E-05;0,999934615;0;0;7;2;2;225;1545;2258;1;1;8/2022
2023;9;9;1307;0,999932417;6,76E-05;0;0;7;1;1;897;1103;1412;1;1;9/2023
2024;10;10;1285;0,998384996;0,001615004;0;0;51;1;1;475;500;2094;1;1;10/2024
2020;11;11;715;1,49E-05;0,999985108;0;0;48;2;2;21;562;3709;1;1;11/2020
2021;12;12;966;1,65E-05;0,999983488;0;0;50;2;2;1446;1754;2574;1;1;12/2021
2022;13;1;689;0,999983763;1,62E-05;0;0;7;1;1;487;722;1241;1;1;1/2022
2023;14;2;1218;0,828239656;0,171760344;0;0;39;1;1;1122;1746;1667;1;1;2/2023
2024;15;3;873;0,999983875;1,61E-05;0;0;8;1;1;1257;1411;575;1;1;3/2024
2020;16;4;1834;8,72E-06;0,99999128;0;0;40;2;2;0;1987;3692;1;1;4/2020
2021;17;5;1367;0,999984597;1,54E-05;0;0;56;1;1;36;642;299;1;1;5/2021
2022;18;6;722;0,978174335;0,021825665;0;0;12;1;1;138;1371;2359;1;1;6/2022
2023;19;7;1953;9,83E-05;0,999901652;0;0;56;2;2;555;764;2334;1;1;7/2023
2024;20;8;977;8,80E-06;0,999991197;0;0;35;2;2;1502;1862;3714;1;1;8/2024
2020;21;9;879;0,999984652;1,53E-05;0;0;14;1;1;403;1105;349;1;1;9/2020
2021;22;10;1900;0,999939167;6,08E-05;0;0;41;1;1;912;1596;850;1;1;10/2021
2022;23;11;1504;2,01E-05;0,99997987;0;0;34;2;2;507;973;2806;1;1;11/2022
2023;24;12;825;1,11E-05;0,999988944;0;0;23;2;2;206;1917;3278;1;1;12/2023
2024;25;1;1164;8,77E-06;0,999991227;0;0;61;2;2;1107;1656;3859;1;1;1/2024
2020;27;2;894;8,99E-06;0,999991007;0;0;50;2;2;1285;1462;3615;1;1;2/2020
2021;28;3;1519;1,43E-05;0,99998568;0;0;30;2;2;1122;1702;2440;1;1;3/2021
2022;29;4;860;1,20E-05;0,999988007;0;0;40;2;2;1573;1581;2832;1;1;4/2022
2023;30;5;1537;8,83E-06;0,999991169;0;0;43;2;2;839;1131;3685;1;1;5/2023
2024;31;6;1620;0,999971349;2,87E-05;0;0;5;1;1;434;1339;1086;1;1;6/2024
2020;32;7;994;2,93E-05;0,999970667;0;0;56;2;2;491;530;3190;1;1;7/2020
2021;33;8;1412;0,999978014;2,20E-05;0;0;25;1;1;516;1894;837;1;1;8/2021
2022;34;9;1260;0,001870976;0,998129024;0;0;23;2;2;905;1313;2208;1;1;9/2022
2023;35;10;1896;8,83E-06;0,99999117;0;0;7;2;2;447;794;3684;1;1;10/2023
2024;36;11;1979;0,999978965;2,10E-05;0;0;32;1;1;833;1630;452;1;1;11/2024
2020;37;12;1935;0,999983094;1,69E-05;0;0;29;1;1;806;860;455;1;1;12/2020
2021;38;1;1342;1,17E-05;0,999988299;0;0;31;2;2;991;1638;2746;1;1;1/2021
2022;39;2;1006;0,999984201;1,58E-05;0;0;22;1;1;35;991;909;1;1;2/2022
2023;40;3;601;0,999984747;1,53E-05;0;0;4;1;1;356;765;532;1;1;3/2023
2024;41;4;1561;0,999972073;2,79E-05;0;0;27;1;1;662;874;1205;1;1;4/2024
2020;42;5;1430;0,999983487;1,65E-05;0;0;56;1;1;569;906;752;1;1;5/2020
2021;44;6;1970;3,79E-05;0,999962059;0;0;58;2;2;654;882;2372;1;1;6/2021
2022;45;7;1090;8,79E-06;0,999991215;0;0;8;2;2;1217;1670;3839;1;1;7/2022
2023;46;8;804;0,999794794;0,000205206;0;0;41;1;1;709;818;2027;1;1;8/2023
2024;47;9;1948;0,999983854;1,61E-05;0;0;5;1;1;651;700;361;1;1;9/2024
2020;48;10;1048;0,923174161;0,076825839;0;0;29;1;1;29;1670;2146;1;1;10/2020
2021;49;11;709;0,999984567;1,54E-05;0;0;13;1;1;570;1422;467;1;1;11/2021
2022;50;12;1132;0,570059735;0,429940265;0;0;8;1;1;1091;1293;1950;1;1;12/2022
2023;51;1;1694;0,284211301;0,715788699;0;0;53;2;2;1194;1208;1653;1;1;1/2023
2024;52;2;1692;0,774325456;0,225674544;0;0;61;1;1;975;1996;1354;1;1;2/2024
2020;53;3;1087;0,999984472;1,55E-05;0;0;16;1;1;295;589;690;1;1;3/2020
2021;54;4;891;0,999981705;1,83E-05;0;0;18;1;1;40;1435;1303;1;1;4/2021
2022;55;5;1156;0,999984586;1,54E-05;0;0;50;1;1;322;547;470;1;1;5/2022
2023;56;6;1958;8,76E-06;0,999991239;0;0;52;2;2;1524;1848;3064;1;1;6/2023
2024;57;7;1753;0,022648831;0,977351169;0;0;31;2;2;1590;1926;1324;1;1;7/2024
2020;58;8;1344;0,997906355;0,002093645;0;0;14;1;1;419;556;2074;1;1;8/2020
2021;59;9;743;0,999984225;1,58E-05;0;0;33;1;1;1587;1659;316;1;1;9/2021
2022;60;10;1396;2,81E-05;0,999971866;0;0;37;2;2;560;1177;2694;1;1;10/2022
2023;61;11;1977;9,86E-06;0,999990143;0;0;31;2;2;1145;1356;2641;1;1;11/2023
2024;62;12;1911;8,96E-06;0,999991041;0;0;36;2;2;868;1632;3057;1;1;12/2024
2020;63;1;1766;7,48E-05;0,999925174;0;0;29;2;2;439;1306;2316;1;1;1/2020
2021;64;2;1969;0,999984087;1,59E-05;0;0;63;1;1;390;756;298;1;1;2/2021
2022;65;3;790;9,56E-06;0,999990441;0;0;44;2;2;1100;1437;3424;1;1;3/2022
2023;66;4;1577;1,20E-05;0,999988;0;0;64;2;2;116;1432;2967;1;1;4/2023
2024;67;5;1142;0,999947791;5,22E-05;0;0;6;1;1;739;1766;1273;1;1;5/2024
2020;68;6;1723;8,79E-06;0,999991208;0;0;42;2;2;202;1791;3587;1;1;6/2020
2021;69;7;1379;0,00097119;0,99902881;0;0;18;2;2;838;885;2358;1;1;7/2021
2022;70;8;1698;0,374936399;0,625063601;0;0;26;2;2;485;1819;1656;1;1;8/2022
